*	Prob
	1
as1	0.001
as2	0.002
as3	0.001
as4	0.002
as5	0.002
as6	0.001
as7	0.002
as8	0.002
as9	0.003
as10	0.004
as11	0.001
as12	0.004
as13	0.005
as14	0.004
as15	0.001
as16	0.002
as17	0.004
as18	0.006
as19	0.006
as20	0.003
as21	0.003
as22	0.007
as23	0.006
as24	0.012
as25	0.015
as26	0.006
as27	0.013
as28	0.01
as29	0.008
as30	0.01
as31	0.004
as32	0.01
as33	0.016
as34	0.009
as35	0.01
as36	0.012
as37	0.017
as38	0.015
as39	0.011
as40	0.013
as41	0.018
as42	0.017
as43	0.015
as44	0.019
as45	0.019
as46	0.017
as47	0.017
as48	0.026
as49	0.016
as50	0.018
as51	0.022
as52	0.018
as53	0.028
as54	0.023
as55	0.025
as56	0.026
as57	0.017
as58	0.018
as59	0.033
as60	0.014
as61	0.013
as62	0.016
as63	0.029
as64	0.018
as65	0.019
as66	0.016
as67	0.012
as68	0.022
as69	0.017
as70	0.013
as71	0.017
as72	0.014
as73	0.006
as74	0.01
as75	0.007
as76	0.008
as77	0.004
as78	0.008
as79	0.005
as80	0.006
as81	0.007
as82	0.008
as83	0.009
as84	0.003
as85	0.004
as86	0.003
as87	0.004
as88	0.007
as89	0.001
as90	0.002
as91	0.003
as92	0.004
as93	0.003
as94	0.001
as95	0.003
as96	0.001
as97	0.002
as98	0.002
as99	0.002
as100	0.002
