*	Prob
	1
bs1	0.001
bs2	0.002
bs3	0.001
bs4	0.002
bs5	0.002
bs6	0.001
bs7	0.002
bs8	0.002
bs9	0.003
bs10	0.004
bs11	0.001
bs12	0.004
bs13	0.005
bs14	0.004
bs15	0.001
bs16	0.002
bs17	0.004
bs18	0.006
bs19	0.006
bs20	0.003
bs21	0.003
bs22	0.007
bs23	0.006
bs24	0.012
bs25	0.015
bs26	0.006
bs27	0.013
bs28	0.01
bs29	0.008
bs30	0.01
bs31	0.004
bs32	0.01
bs33	0.016
bs34	0.009
bs35	0.01
bs36	0.012
bs37	0.017
bs38	0.015
bs39	0.011
bs40	0.013
bs41	0.018
bs42	0.017
bs43	0.015
bs44	0.019
bs45	0.019
bs46	0.017
bs47	0.017
bs48	0.026
bs49	0.016
bs50	0.018
bs51	0.022
bs52	0.018
bs53	0.028
bs54	0.023
bs55	0.025
bs56	0.026
bs57	0.017
bs58	0.018
bs59	0.033
bs60	0.014
bs61	0.013
bs62	0.016
bs63	0.029
bs64	0.018
bs65	0.019
bs66	0.016
bs67	0.012
bs68	0.022
bs69	0.017
bs70	0.013
bs71	0.017
bs72	0.014
bs73	0.006
bs74	0.01
bs75	0.007
bs76	0.008
bs77	0.004
bs78	0.008
bs79	0.005
bs80	0.006
bs81	0.007
bs82	0.008
bs83	0.009
bs84	0.003
bs85	0.004
bs86	0.003
bs87	0.004
bs88	0.007
bs89	0.001
bs90	0.002
bs91	0.003
bs92	0.004
bs93	0.003
bs94	0.001
bs95	0.003
bs96	0.001
bs97	0.002
bs98	0.002
bs99	0.002
bs100	0.002
