*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
        1               2               3               4               5               6               7               8               9               10              11              12              13              14              15              16              17              18              19              20              21              22              23              24
bs1     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101     10.27935101
bs2     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077     11.20298077
bs3     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702     11.28359702
bs4     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681     11.42971681
bs5     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207     11.66158207
bs6     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467     11.87883467
bs7     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569     12.19208569
bs8     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251     12.32358251
bs9     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716     12.38050716
bs10    12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388     12.77225388
bs11    12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665     12.86905665
bs12    12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772     12.97182772
bs13    13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582     13.08055582
bs14    13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054     13.15940054
bs15    13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227     13.24018227
bs16    13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132     13.37786132
bs17    13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745     13.46600745
bs18    13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015     13.56660015
bs19    13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125     13.64039125
bs20    13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692     13.76560692
bs21    13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428     13.84854428
bs22    13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776     13.94460776
bs23    14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432     14.04254432
bs24    14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008     14.14531008
bs25    14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975     14.23291975
bs26    14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307     14.30437307
bs27    14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137     14.41544137
bs28    14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263     14.49196263
bs29    14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965     14.62405965
bs30    14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652     14.69260652
bs31    14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237     14.82349237
bs32    14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297     14.91272297
bs33    14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459     14.99939459
bs34    15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621     15.10318621
bs35    15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319     15.17178319
bs36    15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923     15.28957923
bs37    15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928     15.36122928
bs38    15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777     15.46838777
bs39    15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314        15.59314
bs40    15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055        15.66055
bs41    15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043     15.76567043
bs42    15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908     15.87100908
