,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
as1,129.2689962,124.0469491,121.8239829,105.8039557,116.1876891,116.0053873,132.7602664,132.6794026,141.8382942,164.9116356,180.7229632,196.215615,200.971811,203.5601494,196.396756,203.6261709,209.4385389,191.5552797,202.3996723,197.2379135,193.9554032,185.1845248,169.3150797,167.2330407
as2,129.2689962,124.0469491,121.8239829,105.8039557,116.1876891,116.0053873,132.8341156,132.6794026,141.8382942,165.5210558,181.3978458,196.215615,200.971811,203.5601494,196.396756,203.6261709,209.4385389,191.5552797,202.3996723,197.2379135,193.9554032,185.1845248,169.6913359,167.2330407
as3,129.2689962,124.0469491,123.4637032,105.8039557,116.8951501,116.0053873,133.4339898,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,200.971811,204.0504764,196.396756,203.6261709,209.4385389,191.5552797,203.3068339,197.2379135,193.9554032,185.8358234,170.0675921,167.2330407
as4,129.2689962,124.0469491,123.9286654,105.8039557,117.8357837,116.0053873,134.033864,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,200.971811,204.5408034,196.396756,203.6261709,211.5750593,191.5552797,204.4058102,198.0495608,193.9554032,186.4871221,170.8090194,168.3025302
as5,129.2689962,125.6510611,123.9286654,105.8039557,118.6321585,116.0053873,135.0031384,132.6794026,141.8382942,165.6175679,182.0727284,196.215615,202.3573167,206.3846992,196.396756,205.4694831,212.0139682,191.5552797,205.0422109,199.5041399,195.6293965,186.4871221,171.8607536,169.7230778
as6,129.2689962,127.2551731,123.9286654,105.8039557,119.3178382,116.0053873,135.9724128,132.6794026,141.8382942,166.8692551,182.0727284,198.1819468,203.7428224,206.5248902,196.396756,207.3127953,212.0139682,191.5552797,205.7567363,200.1470717,197.3033898,186.4871221,172.205866,170.3258909
as7,129.2689962,127.2551731,125.4238062,105.8039557,119.4403156,116.0053873,135.9724128,134.7926294,141.8382942,168.3834124,184.1053576,200.1482786,204.8358888,206.5248902,196.396756,207.3127953,212.0139682,191.5552797,206.0266756,200.1470717,197.3033898,188.3226544,172.205866,171.2592232
as8,129.2689962,129.3745956,127.3020138,105.8039557,120.2591793,116.0053873,136.7352444,136.9058562,141.8382942,168.6458825,186.1379868,200.8335345,205.1111625,208.7539692,196.396756,207.3127953,212.0139682,191.5552797,207.0462401,201.1594206,197.3033898,190.1581868,172.205866,171.9408004
as9,132.1396604,129.9364428,127.889405,105.8039557,121.0780429,116.0053873,138.3261586,137.648632,141.8382942,169.8341523,187.3353464,201.6991499,206.6217418,209.0391593,196.396756,207.3127953,214.0197185,191.5552797,208.0658046,202.1717695,198.6197218,190.9132377,172.205866,172.6754176
as10,135.0103246,130.0759634,128.5667041,105.8039557,121.0780429,116.0053873,138.4734241,138.5990846,145.0704315,170.70052,187.8705199,201.8795095,207.0671179,209.0391593,196.396756,207.3127953,216.0254688,191.5552797,208.667419,203.2403375,200.5861794,191.6682887,173.6410951,173.6448045
as11,135.6357885,131.8305566,129.039679,105.8039557,122.2075532,116.0053873,139.173744,139.2577152,148.5341212,171.2101411,188.6571037,202.5629902,207.7206964,209.8266423,196.396756,207.3127953,216.0254688,191.5552797,209.2690333,203.9169134,200.8429017,191.6682887,175.6338811,174.2864198
