*       h1              h2              h3              h4              h5              h6              h7              h8              h9              h10             h11             h12             h13             h14             h15             h16             h17             h18             h19             h20             h21             h22             h23             h24
        1               2               3               4               5               6               7               8               9               10              11              12              13              14              15              16              17              18              19              20              21              22              23               24
bs1     125.5328303     126.9264448     122.815631      109.9870756     112.1108612     116.9247928     134.1220174     125.8410306     139.6706177     157.7558718     189.0314705     185.7850274     195.7107945     194.3480444     199.8762391     197.577288      214.5725191     196.6049932     203.848074      195.2907277     196.1676466     187.474731      160.1222007     166.3908117
bs2     132.6794265     132.794177      128.9781242     117.0509155     119.0242365     124.5616721     140.637161      129.8655336     146.8777943     157.7558718     196.1324485     191.5083827     202.4014075     194.9288641     199.978462      197.577288      220.067423      203.3789611     211.2946765     200.3675297     203.3711325     194.6582618     161.9818792     172.2420663
bs3     133.3730441     135.1717788     130.9988739     117.0509155     120.184098      125.6058139     141.1235598     133.6391595     147.9452087     157.7558718     196.2737163     191.5083827     203.0133427     198.6427119     199.978462      197.577288      223.1036402     203.3789611     211.2946765     201.7460884     204.2299554     194.941515      161.9818792     174.7108277
bs4     134.0811484     135.1908793     131.7094976     118.3185751     120.5572276     126.0229274     141.673272      133.6391595     147.9452087     157.7558718     197.2688452     191.5083827     204.0770223     202.3565596     204.6256703     197.577288      223.3241741     203.3789611     213.4531772     203.2476814     204.7857302     195.827282      165.7909334     175.2994889
bs5     135.7292121     136.3364246     133.0737493     120.2731366     122.7361533     128.06065       143.52099       135.318698      150.7905041     166.7989719     198.78466       191.5083827     205.6264534     202.3565596     210.9511344     197.577288      225.1084805     205.1306727     215.0519833     204.1251316     206.9484634     197.889011      170.4045804     176.8061656
bs6     136.8408506     139.6463398     135.6809103     122.5347394     124.4917284     131.1631689     145.0089945     138.7500309     152.8766608     168.899946      201.0041171     198.3979742     207.2505579     204.8407618     213.2681457     197.577288      227.4316831     208.5006322     216.8738098     206.7438032     209.047773      199.992746      172.6280787     179.439331
bs7     139.8444136     141.5203117     137.498604      125.1635145     127.0412751     131.9916685     146.8861064     140.8958085     155.5624873     171.5600177     202.9838723     200.110201      209.7630559     209.3327273     214.2762352     197.577288      229.7600376     211.415913      219.5669861     208.8254426     211.0144272     202.4902144     175.0427726     181.8244308
bs8     140.5613142     142.2509419     138.2374417     125.6809974     127.0454524     131.9916685     147.6802981     142.8014281     156.563079      172.1304426     203.7018343     201.481952      210.7624358     209.6559648     215.3978155     197.577288      230.3875734     212.138312      220.147765      209.3924426     211.8691259     203.46149       176.0600375     182.7022514
bs9     141.5754976     143.3009457     139.1823361     126.9848374     128.2639158     135.141828      148.4685716     143.3287322     157.1101117     172.7262593     204.4649914     202.1788641     211.9836916     210.6673669     216.9742305     197.577288      231.4659065     212.7956475     221.1226724     210.6226584     212.3766184     204.0570272     176.6098932     183.7569511
bs10    144.7581767     146.1786853     141.9085966     129.8341809     131.0461499     138.0518227     150.718366      146.4596356     160.8137865     175.6309807     207.4151115     205.6161376     214.7362738     213.735542      220.3546993     217.6339114     234.3210276     216.3477062     224.2004179     213.2802034     215.4932872     207.4294421     179.9491426     186.7695008
bs11    145.1087807     146.9310916     142.8072399     130.2746109     132.0004417     139.0541341     151.7379427     147.2067884     161.0942043     176.2844533     207.9062953     206.1326824     215.2907275     214.8978973     221.3174294     217.6339114     235.0983862     216.792423      225.0115379     213.838486      216.3601137     208.3490073     180.9746455     187.7332333
bs12    145.7405001     147.6648878     143.4843022     131.4315622     132.6913488     139.8664654     152.4665807     148.1179845     161.9588713     177.2310338     208.594526      206.6339165     216.2680659     215.3318634     222.0901983     217.6339114     235.9089203     218.1047801     225.8346171     214.5678092     217.2695508     208.9740376     181.5733368     188.3181696
bs13    146.7237996     148.606091      144.4002215     131.9873912     133.6678442     140.713275      153.0168667     149.1127128     163.1143055     177.8268308     209.2146385     208.0722532     216.9291645     216.1681513     222.7618324     220.9033288     236.7250123     218.3109834     226.2110349     214.9505608     217.9993562     209.5034274     182.3524212     189.1936468
bs14    147.0847363     149.2154158     145.1456579     132.5535657     134.0906821     141.3668945     153.7262103     149.7149343     163.5891155     178.1328542     210.162437      208.562627      217.6257013     216.7784172     223.6530722     221.3570308     237.6016308     219.6516356     227.1712126     215.6929402     218.6782768     210.3492836     183.1699015     190.0798162
bs15    147.6230539     149.9011448     146.0540253     133.5147842     134.8198705     142.1621053     154.3543959     150.7740992     164.6444894     178.914089      210.6984484     209.3537375     218.453364      217.7117165     224.2290359     222.11094       238.3286676     220.072379      227.7942021     216.2529768     219.336854      211.1465136     183.6336911     190.7411187
bs16    148.8377239     150.5816259     146.7057633     134.4028667     135.751381      142.9422025     155.1393473     151.4592404     165.3441777     179.899643      211.5237884     210.061214      219.0921239     218.2281547     225.0450031     223.0496815     238.9343434     221.0398592     228.912162      217.1283817     220.1946609     212.0519722     184.3614513     191.535137
